ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C1,Acme Corp,Ellipsis,"T17,T27,T33,T31,T20,T3,T32,T26",Groupa,"{""notes"": """", ""budget"": 0, ""location"": ""New York"", ""sla"": """", ""vip"": false, ""priority"": """", ""region"": """", ""contact"": """", ""preferredContact"": """", ""timezone"": """"}"
C2,Globex Inc,Ellipsis,"T35,T39,T10,T17,T46",Groupb,"{""notes"": ""ensure deliverables align with project scope""}"
C3,Initech,Ellipsis,"T28,T7,T23,T40,T41,T31,T36,T21,T50,T14",Groupa,"{""sla"":""24h"",""vip"":true}"
C4,Umbrella Co,Ellipsis,"T22,T1,T43,T21,T32,T41,T16,T5,T40,T13",Groupc,"{""notes"": ""budget approved pending CFO review""}"
C5,Stark Industries,Ellipsis,"T36,T32,T8,T47,T7,T19,T20",Groupb,"{""notes"":""rush order"",""budget"":200000}"
C6,Wayne Enterprises,Ellipsis,"T19,T16,T13,T40,T37,T46,T21,T3,T12",Groupa,"{""notes"": ""client prefers morning meetings""}"
C7,Soylent Corp,Ellipsis,"T14,T38,T44,T35,T26,T18,T46,T16,T34,T47",Groupc,"{""location"":""London"",""priority"":""high""}"
C8,Hooli,Ellipsis,"T13,T15,T8,T18,T22,T2,T24,T16",Groupa,"{""notes"": ""escalate any delays immediately""}"
C9,Massive Dynamic,Ellipsis,"T35,T44,T39,T5,T41",Groupb,"{""region"":""APAC"",""budget"":150000}"
C10,Cyberdyne Systems,Ellipsis,"T39,T3,T13,T50,T8,T2,T24,T26,T6",Groupc,"{""notes"": ""verify all entries for compliance""}"
C11,Tyrell Corp,Ellipsis,"T15,T5,T20,T49,T23,T42,T28,T17",Groupa,"{""location"":""Sydney"",""contact"":""alice@example.com""}"
C12,Oceanic Airlines,Ellipsis,"T31,T11,T45,T44,T37,T14,T4",Groupb,"{""notes"": ""follow up with regional manager""}"
C13,Pied Piper,Ellipsis,"T29,T43,T31,T12,T1",Groupc,"{""vip"":false,""notes"":""standard processing""}"
C14,Buzzfeed,Ellipsis,"T22,T30,T45,T6,T10,T36,T1,T17",Groupa,"{""notes"": ""test integration in sandbox before prod""}"
C15,Nakatomi,Ellipsis,"T25,T27,T9,T38,T41,T20,T40,T23",Groupb,"{""location"":""Berlin"",""budget"":80000}"
C16,Wonka Industries,Ellipsis,"T49,T26,T45,T27,T48,T3,T37,T44",Groupc,"{""notes"": ""coordinate deliverables across teams""}"
C17,Sterling Cooper,Ellipsis,"T3,T50,T39,T21,T36,T1,T32,T20",Groupa,"{""location"":""Toronto"",""budget"":120000}"
C18,Los Pollos Hermanos,Ellipsis,"T27,T1,T21,T14,T44",Groupb,"{""notes"": ""update roadmap with client feedback""}"
C19,Biffco,Ellipsis,"T13,T20,T45,T18,T42",Groupc,"{""vip"":true,""sla"":""12h""}"
C20,Monolith,Ellipsis,"T17,T9,T9,T8,T29",Groupa,"{""notes"": ""schedule weekly status calls""}"
C21,Dinoco,Ellipsis,"T21,T17,T36,T44,T9",Groupb,"{""preferredContact"":""email"",""timezone"":""EST""}"
C22,Springfield Nuclear,Ellipsis,"T41,T19,T24,T35,T12,T14,T25,T38,T28,T30",Groupc,"{""notes"": ""require NDA before sharing docs""}"
C23,Duff Beer,Ellipsis,"T19,T3,T38,T50,T10,T11,T18",Groupa,"{""budget"":null,""notes"":""""}"
C24,Gotham LLC,Ellipsis,"T22,T12,T20,T26,T49,T4,T34,T5",Groupb,"{""notes"": ""delay start date until client sign-off""}"
C25,LexCorp,Ellipsis,"T8,T28,T32,T3,T45,T9,T20",Groupc,"{""location"":""Paris"",""budget"":50000}"
C26,Zeitgeist LLC,Ellipsis,"T4,T25,T1,T13,T48,T6,T26,T15,T9,T7",Groupa,"{""notes"": ""ensure data integrity before final export""}"
C27,Blue Ocean,Ellipsis,"T29,T8,T34,T45,T44,T2,T5",Groupb,"{""location"":""Miami"",""budget"":90000}"
C28,Redwood Tech,Ellipsis,"T30,T35,T24,T25,T7,T13",Groupc,"{""notes"": ""legacy system requires special handling""}"
C29,Quantum Dynamics,Ellipsis,"T32,T13,T43,T49,T41,T46,T44,T34,T21,T35",Groupa,"{""sla"":""48h"",""vip"":false}"
C30,Apex Innovations,Ellipsis,"T25,T38,T19,T31,T46,T10,T5",Groupb,"{""notes"": ""please coordinate with external partners""}"
C31,Nova Solutions,Ellipsis,"T1,T49,T11,T29,T22",Groupc,"{""location"":""Delhi"",""budget"":120000}"
C32,Evergreen Co,Ellipsis,"T39,T44,T37,T6,T5,T34,T14,T28,T19",Groupa,"{""notes"": ""archive reports monthly""}"
